722,279,850,282,849,334,721,331,Rin
764,334,845,337,844,351,763,348,whoAsPlay
531,603,575,602,576,617,531,618,Fast
469,426,527,427,527,439,469,439,vrllecke
422,168,461,169,461,184,422,184,0.5
108,501,138,499,139,513,109,515,ye
162,127,247,126,248,182,162,183,1
107,485,137,482,138,495,108,497,gialln
478,447,517,446,517,463,478,464,100
666,622,714,625,713,639,665,636,CallAny
905,7,945,8,944,25,905,24,Lobby
780,133,835,132,836,144,781,145,PostBs
88,334,129,335,129,348,87,348,Bluesh
427,90,479,92,478,104,426,102,Postss
836,8,892,8,892,21,836,22,AddChips
430,206,472,206,471,218,430,218,Pot:
665,591,697,593,697,604,665,603,calli
109,357,145,357,145,372,109,373,100
96,134,156,133,156,146,96,147,smonlUee
430,112,470,111,470,126,430,127,117
107,467,129,466,130,478,107,479,and
789,154,830,153,830,169,789,170,27.5
48,7,80,8,80,19,48,18,Table
532,621,573,621,573,637,532,637,Fold
418,383,445,384,445,414,418,414,A
844,54,870,55,870,66,844,66,1a2s
474,489,498,489,498,505,474,505,58
475,384,504,384,505,411,476,411,10
126,332,175,332,175,348,126,349,w763
796,358,822,357,822,372,797,373,97
45,264,68,265,67,280,44,278,00
482,206,516,206,516,218,482,219,1.5
114,154,138,153,138,168,114,169,99
6,72,32,71,32,82,6,83,$0
80,31,107,32,107,44,80,44,10
